,mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_4,explode
21935,2,0,1864,1224,6,1,3368,808,4,0,2152,776,25,20,1128,16416,0.8,0.73,0.73,0.9,0
21936,7,2,2664,208,15,10,7480,6200,8,4,1544,2408,3,0,568,392,0.57,0.84,0.69,0.63,0
21937,22,19,2792,7992,18,15,9912,7224,15,10,1416,1416,22,19,16992,4392,0.74,0.83,0.6,0.79,0
21938,7,2,1480,1608,24,20,27376,7480,2,0,1672,1032,24,20,5352,1544,0.74,0.9,0.77,0.61,0
21939,3,0,1224,1352,15,12,6456,2216,15,9,2280,5160,24,20,21384,9912,0.78,0.69,0.74,0.92,0
21940,4,0,1608,288,13,8,6968,5992,18,14,6200,9912,15,10,4584,1544,0.62,0.86,0.9,0.66,0
21941,15,11,9912,4584,20,17,9912,8504,20,18,15264,1288,2,0,2088,224,0.78,0.84,0.72,0.64,0
21942,13,7,11064,3752,2,0,2088,88,22,19,15264,11448,15,12,2280,9144,0.8,0.6,0.98,0.91,0
21943,15,12,8504,6200,8,2,6968,968,26,20,15840,776,15,11,11064,6712,0.89,0.75,0.69,0.89,0
21944,6,1,712,712,8,4,5544,2984,15,10,8760,6968,5,0,3496,224,0.66,0.8,0.91,0.64,0
21945,6,1,5160,808,3,0,1928,872,7,2,4968,2152,22,19,19848,7224,0.75,0.75,0.82,0.88,0
21946,8,2,1384,1384,7,2,2344,296,3,0,1416,1000,8,4,4584,2856,0.71,0.6,0.75,0.8,0
21947,8,2,1544,1928,26,20,18336,5544,13,8,2728,6200,20,17,5160,4584,0.76,0.83,0.81,0.72,0
21948,8,4,2536,3368,15,11,12576,4392,8,4,2216,1128,15,9,12216,1416,0.78,0.84,0.64,0.7,0
21949,11,6,3368,1480,3,0,968,208,19,17,10680,1800,11,6,1736,4136,0.65,0.57,0.69,0.77,0
21950,24,20,7480,5160,18,15,7480,7736,25,20,22152,6200,8,4,536,1288,0.7,0.81,0.84,0.63,0
21951,26,20,9144,776,24,20,15840,6712,22,19,1384,9528,4,0,2152,1288,0.63,0.8,0.75,0.8,0
21952,8,4,536,1800,15,12,5992,9528,26,20,12960,376,25,20,2856,17568,0.66,0.93,0.66,0.97,0
21953,4,0,2984,808,15,11,7736,4776,22,19,3240,2152,3,0,1320,1160,0.76,0.79,0.62,0.77,0
21954,4,0,1800,600,8,2,4264,1672,4,0,3368,568,2,0,1608,1128,0.7,0.77,0.73,0.76,0
21955,10,4,5736,1000,13,8,1608,5352,15,12,13536,4008,6,1,4264,328,0.69,0.76,0.81,0.66,0
21956,11,6,7224,504,7,2,4008,1256,10,4,7480,2472,18,14,6456,9144,0.67,0.73,0.79,0.87,0
21957,4,0,1192,568,3,0,1800,224,13,7,5736,3624,11,6,4264,2216,0.69,0.62,0.73,0.68,0
21958,20,17,376,6456,11,6,4584,3496,2,0,32,1160,19,17,11832,12576,0.69,0.75,0.74,0.99,0
21959,11,6,2280,2984,7,2,1928,1096,20,18,11832,10296,6,1,3752,1128,0.72,0.7,0.92,0.76,0
21960,11,6,3496,4392,13,7,4136,5352,20,17,6200,7992,22,19,3240,11448,0.82,0.81,0.82,0.84,0
21961,7,2,1672,1192,10,4,3624,2664,15,11,11064,1384,25,20,1736,15264,0.71,0.75,0.7,0.9,0
21962,13,8,9528,3368,2,0,520,456,3,0,1544,904,18,15,14112,3112,0.76,0.64,0.75,0.76,0
21963,18,14,9528,12960,8,4,4584,1480,19,17,1800,10296,19,17,4776,4584,1.0,0.71,0.84,0.7,0
21964,2,0,1736,776,7,2,4008,2088,15,9,4584,5160,18,15,6712,7992,0.76,0.81,0.76,0.83,0
21965,11,6,1736,5160,2,0,648,152,6,1,808,1352,15,9,12960,1416,0.77,0.55,0.74,0.7,0
21966,24,20,12576,5160,24,20,1608,7480,4,0,3624,936,26,20,30576,7224,0.75,0.7,0.78,0.91,0
21967,8,4,1544,1864,26,20,25456,1544,7,2,3624,328,11,6,6712,392,0.69,0.77,0.61,0.63,0
21968,13,7,7736,5992,18,15,6712,12576,10,4,6968,2984,25,20,11064,376,0.85,0.97,0.84,0.68,0
21969,18,14,11448,2536,18,14,4968,3880,26,20,14112,10296,6,1,5160,456,0.73,0.69,0.9,0.68,0
21970,2,0,328,1192,3,0,968,424,10,4,4584,1800,26,20,4264,18336,0.76,0.65,0.73,0.98,0
21971,24,20,19848,8248,13,7,11064,4392,2,0,1384,936,26,20,13536,3624,0.87,0.83,0.74,0.74,0
21972,5,0,4008,224,15,11,2280,1032,22,19,18336,10680,5,0,4136,1032,0.64,0.6,0.92,0.81,0
21973,15,11,9912,4008,15,12,12216,5992,19,17,8248,2152,6,1,3112,1800,0.78,0.87,0.69,0.81,0
21974,18,15,8504,4008,15,9,5736,296,3,0,504,1000,19,17,8248,2472,0.73,0.59,0.73,0.68,0
21975,8,4,4584,328,15,9,11832,936,15,10,6200,3496,10,4,296,840,0.62,0.67,0.69,0.58,0
21976,15,11,9528,4776,15,11,2856,5736,15,12,7736,1384,3,0,328,376,0.81,0.78,0.69,0.61,0
21977,15,9,8248,5160,6,1,3880,776,15,11,6200,5160,13,7,3240,968,0.77,0.74,0.78,0.59,0
21978,7,2,104,2216,24,20,26416,376,2,0,1928,224,24,20,19080,11448,0.72,0.75,0.64,0.94,0
21979,15,9,1128,5544,24,20,13536,11448,15,9,840,1864,8,2,1256,1320,0.73,0.91,0.6,0.69,0
21980,6,1,2408,712,8,2,2664,424,8,4,392,2792,24,20,1064,776,0.7,0.61,0.7,0.56,0
21981,6,1,3368,208,3,0,40,424,3,0,504,504,20,18,12960,9912,0.61,0.61,0.65,0.9,0
21982,6,1,4392,1800,15,12,11832,5992,18,14,11832,6712,15,10,5160,1256,0.81,0.88,0.85,0.63,0
21983,26,20,25456,11832,18,15,5544,1128,4,0,3240,1064,20,17,376,6712,0.99,0.63,0.79,0.69,0
21984,20,18,14112,7224,20,17,14112,9144,2,0,176,1256,15,11,7992,1928,0.85,0.92,0.74,0.68,0
21985,2,0,328,712,8,2,256,2216,15,11,4584,4584,13,7,2472,3880,0.7,0.76,0.74,0.73,0
21986,10,4,936,1416,5,0,1224,1320,13,8,4968,4008,19,17,12960,6968,0.65,0.75,0.73,0.85,0
21987,25,20,16992,4776,10,4,2536,256,4,0,3368,1064,2,0,520,328,0.76,0.56,0.8,0.58,0
21988,18,15,12216,8760,24,20,25456,4008,8,2,3624,1160,2,0,2088,32,0.93,0.79,0.74,0.59,0
21989,15,10,2280,7224,2,0,696,208,20,18,9144,7736,13,8,5352,3368,0.84,0.57,0.81,0.71,0
21990,6,1,1128,1288,18,15,968,3752,13,7,10680,5736,26,20,1800,13536,0.73,0.65,0.88,0.88,0
21991,20,17,776,10296,20,18,7480,7224,15,10,8504,3624,18,15,1608,9912,0.84,0.78,0.75,0.84,0
21992,19,17,14112,9528,10,4,2536,208,8,4,2088,696,15,11,256,5544,0.91,0.55,0.63,0.73,0
21993,15,11,5544,2792,20,17,15264,2728,8,2,3240,1544,8,2,808,1544,0.68,0.75,0.76,0.71,0
21994,18,14,7992,4968,25,20,24496,10296,20,17,16416,4968,10,4,2536,1288,0.76,0.96,0.81,0.66,0
21995,18,15,15264,6456,6,1,2984,1384,8,2,1672,1544,18,14,8504,3880,0.87,0.78,0.72,0.73,0
21996,6,1,2600,1544,20,18,7992,12960,25,20,5736,2344,18,15,10296,552,0.77,0.96,0.63,0.69,0
21997,6,1,600,1416,7,2,1096,296,20,17,2344,4968,5,0,224,1160,0.73,0.56,0.65,0.72,0
21998,22,19,14688,6456,15,11,8760,2792,7,2,3880,328,13,7,4392,1672,0.82,0.71,0.62,0.64,0
21999,2,0,2088,456,20,17,14688,1800,13,7,3368,4968,19,17,2856,11448,0.71,0.73,0.78,0.88,0
22000,24,20,17568,11064,19,17,1064,600,3,0,1384,32,8,2,3752,696,0.9,0.55,0.52,0.68,0
22001,15,12,1416,5352,15,10,11064,6968,24,20,6456,6200,13,8,9528,1256,0.74,0.89,0.71,0.68,0
22002,2,0,1000,1096,2,0,1928,392,20,17,5160,7992,15,9,10296,1416,0.76,0.7,0.77,0.69,0
22003,18,14,14112,1256,15,9,4264,2984,10,4,2536,256,18,14,9912,5352,0.69,0.66,0.58,0.77,0
22004,4,0,3240,568,11,6,1224,1224,18,14,15840,744,11,6,5160,4008,0.73,0.59,0.73,0.8,0
22005,20,18,7480,4968,22,19,4584,5160,7,2,4584,2152,2,0,1000,456,0.74,0.68,0.82,0.68,0
22006,13,7,3240,1320,13,7,8504,2536,15,10,5736,4968,18,14,5992,6712,0.62,0.74,0.78,0.78,0
22007,18,15,13536,9144,3,0,1032,744,24,20,2664,15264,18,14,1928,6712,0.93,0.71,0.9,0.74,0
22008,11,6,3368,2216,6,1,256,56,26,20,26416,7224,18,15,16416,5992,0.67,0.47,0.88,0.84,0
22009,22,19,2792,336,13,7,4392,2344,7,2,4008,72,11,6,7736,504,0.57,0.66,0.57,0.66,0
22010,6,1,2600,1160,24,20,4264,8760,15,9,14112,1096,18,14,3624,11448,0.75,0.76,0.69,0.93,0
22011,13,7,1608,3368,15,11,7736,2280,11,6,2088,712,3,0,1256,120,0.68,0.72,0.59,0.54,0
22012,11,6,8248,3496,25,20,10296,15264,5,0,4392,392,8,4,680,1000,0.8,0.98,0.71,0.61,0
22013,13,8,5544,5160,18,15,15840,8504,8,2,968,2088,18,15,4968,11832,0.82,0.97,0.78,0.95,0
22014,15,10,6456,3112,18,14,5992,1000,18,15,7992,4008,20,18,18336,2280,0.68,0.64,0.73,0.76,0
22015,13,8,10680,2344,6,1,1672,968,3,0,1416,120,20,17,376,6712,0.73,0.7,0.57,0.69,0
22016,15,10,7224,1416,8,2,1544,1416,13,7,1352,6200,2,0,2088,456,0.67,0.72,0.78,0.71,0
